epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2771.2,0.43883,0.3019,0.93716,0.99952,0.98739,0.99475,0.93401,0.38472,0.21898,0.87414,0.0007328,0.0007328,0.0007328
66,2811.97,0.44186,0.30063,0.95092,0.99912,0.9916,0.995,0.92754,0.3858,0.22195,0.87733,0.000713,0.000713,0.000713
67,2853.17,0.44234,0.29671,0.94708,0.99885,0.97899,0.99463,0.93741,0.36474,0.21676,0.86458,0.0006932,0.0006932,0.0006932
68,2894.24,0.44466,0.30248,0.95288,1,0.98316,0.99408,0.9381,0.37168,0.21761,0.86129,0.0006734,0.0006734,0.0006734
69,2935.18,0.44271,0.29143,0.95432,0.99576,0.98672,0.99475,0.93341,0.39308,0.21752,0.87803,0.0006536,0.0006536,0.0006536
70,2977.17,0.43268,0.28283,0.94082,0.99576,0.98707,0.99337,0.9326,0.3742,0.22448,0.87605,0.0006338,0.0006338,0.0006338
71,3026.75,0.42375,0.2868,0.93886,0.99564,0.9916,0.99496,0.93724,0.37143,0.20754,0.86757,0.000614,0.000614,0.000614
72,3068.09,0.42775,0.28627,0.93889,0.99949,0.98739,0.99475,0.93587,0.36092,0.20877,0.86324,0.0005942,0.0005942,0.0005942
73,3109.96,0.43227,0.29315,0.93746,0.99966,0.98739,0.99492,0.93878,0.37263,0.20704,0.87412,0.0005744,0.0005744,0.0005744
74,3154.21,0.42703,0.2847,0.93849,1,0.9911,0.995,0.92586,0.37878,0.2126,0.86857,0.0005546,0.0005546,0.0005546
75,3195.37,0.42035,0.28326,0.93825,0.99846,0.9958,0.995,0.93016,0.37654,0.20362,0.86904,0.0005348,0.0005348,0.0005348
76,3237.22,0.4039,0.28034,0.93116,0.99943,0.9916,0.995,0.93631,0.36718,0.20126,0.86733,0.000515,0.000515,0.000515
77,3287.15,0.40966,0.27989,0.93167,0.9958,0.99513,0.99496,0.93727,0.37068,0.20407,0.8608,0.0004952,0.0004952,0.0004952
78,3330.3,0.40605,0.2766,0.92823,1,0.99508,0.995,0.93805,0.36379,0.19784,0.87123,0.0004754,0.0004754,0.0004754
79,3372.96,0.40341,0.27298,0.93058,0.99559,0.9958,0.99496,0.93968,0.35447,0.19676,0.85923,0.0004556,0.0004556,0.0004556
80,3417.28,0.41039,0.27442,0.9263,0.9996,0.98739,0.99496,0.94156,0.36421,0.20007,0.85671,0.0004358,0.0004358,0.0004358
81,3461.74,0.39173,0.26305,0.9249,0.99977,0.9958,0.995,0.93525,0.37293,0.20414,0.86817,0.000416,0.000416,0.000416
82,3505.85,0.40096,0.26575,0.92552,0.99521,0.9958,0.99496,0.93808,0.36647,0.20439,0.86811,0.0003962,0.0003962,0.0003962
83,3554.92,0.40581,0.27319,0.92845,0.999,0.98739,0.99483,0.93907,0.37126,0.20191,0.87255,0.0003764,0.0003764,0.0003764
84,3598.38,0.40587,0.27243,0.93376,0.99934,0.9916,0.995,0.94012,0.36693,0.20223,0.86759,0.0003566,0.0003566,0.0003566
85,3642.85,0.40664,0.27394,0.92561,0.99528,0.9916,0.99496,0.94191,0.36931,0.19836,0.86468,0.0003368,0.0003368,0.0003368
86,3685.42,0.40005,0.2623,0.91966,0.99953,0.98739,0.99496,0.94369,0.35412,0.19523,0.85883,0.000317,0.000317,0.000317
87,3729.65,0.39152,0.26946,0.92654,1,0.9856,0.99487,0.93529,0.36095,0.19901,0.86096,0.0002972,0.0002972,0.0002972
88,3770.99,0.3795,0.25268,0.91017,0.99578,0.99087,0.99492,0.94233,0.35077,0.19603,0.85797,0.0002774,0.0002774,0.0002774
89,3812.53,0.38098,0.26179,0.91478,0.99435,0.9916,0.99492,0.94651,0.3459,0.20076,0.85598,0.0002576,0.0002576,0.0002576
90,3853.62,0.38737,0.26206,0.91687,0.99536,0.9916,0.99492,0.9426,0.34987,0.19479,0.85664,0.0002378,0.0002378,0.0002378
91,3897.9,0.26421,0.17586,0.83214,0.99983,0.98739,0.99475,0.94148,0.36804,0.19676,0.86945,0.000218,0.000218,0.000218
92,3938.64,0.25474,0.16974,0.82361,0.99834,0.98739,0.99475,0.94663,0.34597,0.19331,0.85651,0.0001982,0.0001982,0.0001982
93,3979.52,0.2657,0.16337,0.82879,0.99981,0.98739,0.99492,0.94713,0.35143,0.19857,0.8519,0.0001784,0.0001784,0.0001784
94,4020.49,0.25683,0.15719,0.8308,1,0.98739,0.99487,0.94914,0.34254,0.19531,0.85081,0.0001586,0.0001586,0.0001586
95,4061.47,0.24779,0.1563,0.82533,0.99576,0.98739,0.99492,0.94526,0.35124,0.19513,0.85854,0.0001388,0.0001388,0.0001388
96,4102.24,0.25198,0.16075,0.82975,1,0.98635,0.99475,0.94847,0.34208,0.19541,0.85555,0.000119,0.000119,0.000119
97,4144.28,0.25739,0.16233,0.83109,0.99578,0.99115,0.99496,0.94748,0.34802,0.19465,0.85706,9.92e-05,9.92e-05,9.92e-05
98,4185.61,0.24614,0.15876,0.82339,0.99984,0.98739,0.99492,0.9509,0.3377,0.19155,0.85186,7.94e-05,7.94e-05,7.94e-05
99,4227.34,0.24558,0.15709,0.80931,0.99947,0.98739,0.99496,0.95051,0.34125,0.19307,0.85181,5.96e-05,5.96e-05,5.96e-05
100,4268.34,0.24203,0.15633,0.82855,0.99576,0.98641,0.99483,0.94955,0.33987,0.18982,0.84931,3.98e-05,3.98e-05,3.98e-05
